published_at,view_count
2020-07-27,9501598.0
2020-08-03,14954488.0
2020-08-05,8786271.166666666
2020-08-06,10715767.096774194
2020-08-07,18728062.48214286
2020-08-08,4150897.95
2020-08-09,3922570.5512820515
2020-08-10,2413083.1494252873
2020-08-11,7817924.045977011
2020-08-12,3121784.2916666665
2020-08-13,4880529.354430379
2020-08-14,13476095.528735632
2020-08-15,8568798.210526315
2020-08-16,2585289.285714286
2020-08-17,14239302.311688311
2020-08-18,4478729.45
2020-08-19,5035378.048192771
2020-08-20,9463664.736111112
2020-08-21,31029834.23943662
2020-08-22,8339343.72881356
2020-08-23,3836558.0
2020-08-24,7190698.806818182
2020-08-25,5290726.3655913975
2020-08-26,3960756.7282608696
2020-08-27,5929086.3513513515
2020-08-28,15365161.023809524
2020-08-29,4405367.662790698
2020-08-30,2884953.5
2020-08-31,2622060.9873417723
2020-09-01,4661032.725274725
2020-09-02,8394731.75
2020-09-03,19736044.60714286
2020-09-04,12902904.451219512
2020-09-05,4752211.96
2020-09-06,5033920.918918919
2020-09-07,2945296.2352941176
2020-09-08,2306313.095238095
2020-09-09,4538211.386666667
2020-09-10,5921449.793478261
2020-09-11,7279380.380952381
2020-09-12,3406470.5753424657
2020-09-13,5767856.046511628
2020-09-14,5307539.604395605
2020-09-15,3000476.1379310344
2020-09-16,2914464.4423076925
2020-09-17,7546181.012658228
2020-09-18,12450259.029126214
2020-09-19,3336650.561797753
2020-09-20,3315994.494736842
2020-09-21,11218463.09708738
2020-09-22,7975292.373493976
2020-09-23,5135747.44680851
2020-09-24,5562899.013157895
2020-09-25,9035633.779069768
2020-09-26,8156703.169230769
2020-09-27,2848631.326923077
2020-09-28,4425810.182926829
2020-09-29,4681821.844155844
2020-09-30,3885324.4523809524
2020-10-01,5470589.64935065
2020-10-02,35146469.13953488
2020-10-03,3620851.0853658537
2020-10-04,3275724.2790697673
2020-10-05,3670132.3552631577
2020-10-06,4187525.84
2020-10-07,3320039.2441860465
2020-10-08,9423672.6625
2020-10-09,9459747.721518988
2020-10-10,8303237.818181818
2020-10-11,6515775.875
2020-10-12,5225190.872093023
2020-10-13,4524090.688679245
2020-10-14,2576579.7183098593
2020-10-15,5612375.511904762
2020-10-16,9569486.142857144
2020-10-17,5106890.136842106
2020-10-18,8327083.514563107
2020-10-19,5686502.253164557
2020-10-20,10772839.505263157
2020-10-21,5014741.01369863
2020-10-22,6836706.569230769
2020-10-23,26178946.12643678
2020-10-24,4210757.506666667
2020-10-25,3250712.685714286
2020-10-26,12089833.91954023
2020-10-27,6827765.505747126
2020-10-28,4776691.7
2020-10-29,5867854.80882353
2020-10-30,16401312.0
2020-10-31,6927975.337837838
2020-11-01,2965643.253012048
2020-11-02,3617702.8
2020-11-03,2669052.9393939395
2020-11-04,2896649.0677966103
2020-11-05,7335861.089285715
2020-11-06,14440391.578125
2020-11-07,4235989.171875
2020-11-08,2716122.1807228914
2020-11-09,4294011.234375
2020-11-10,2608460.1142857145
2020-11-11,2215594.185714286
2020-11-12,6595975.626865672
2020-11-13,13798597.52173913
2020-11-14,4303157.626373626
2020-11-15,2033484.0697674418
2020-11-16,2219769.144230769
2020-11-17,8522782.88372093
2020-11-18,3570437.1805555555
2020-11-19,5019234.836065574
2020-11-20,20688509.903614458
2020-11-21,3100982.6338028167
2020-11-22,2492312.8985507246
2020-11-23,4813842.914634147
2020-11-24,6315671.244444445
2020-11-25,8269631.577319588
2020-11-26,3551800.6
2020-11-27,8228506.690140845
2020-11-28,4257217.229508197
2020-11-29,2773009.947368421
2020-11-30,5373076.126436782
2020-12-01,5193587.483146068
2020-12-02,4120256.839506173
2020-12-03,4434559.926470588
2020-12-04,16049302.87012987
2020-12-05,3503810.0163934426
2020-12-06,3693485.82
2020-12-07,3870298.7972972975
2020-12-08,6387359.098901099
2020-12-09,6273073.361445783
2020-12-10,4612006.161290322
2020-12-11,7579348.833333333
2020-12-12,3711410.195652174
2020-12-13,4185046.650943396
2020-12-14,3595977.6395348837
2020-12-15,4772608.347222222
2020-12-16,4676702.155555556
2020-12-17,6475497.0
2020-12-18,16963866.838235293
2020-12-19,6895003.686567164
2020-12-20,2318603.373737374
2020-12-21,5622615.873563218
2020-12-22,7831235.658227848
2020-12-23,6155033.626865672
2020-12-24,3703963.4482758623
2020-12-25,6837800.790697674
2020-12-26,3991280.1454545455
2020-12-27,2906859.418181818
2020-12-28,3126223.476923077
2020-12-29,3218780.484375
2020-12-30,2338290.3529411764
2020-12-31,4656609.552631579
2021-01-01,10988692.588235294
2021-01-02,11878812.764705881
2021-01-03,2254828.2702702703
2021-01-04,2517933.242857143
2021-01-05,12287973.38095238
2021-01-06,2455094.5833333335
2021-01-07,6399518.666666667
2021-01-08,11850865.255319148
2021-01-09,3498901.3333333335
2021-01-10,2564744.2608695654
2021-01-11,5812669.927536231
2021-01-12,2779594.2602739725
2021-01-13,3175410.1971830986
2021-01-14,4025070.418181818
2021-01-15,7118718.012987013
2021-01-16,3164196.277777778
2021-01-17,2248894.289473684
2021-01-18,7407448.363636363
2021-01-19,3897396.581081081
2021-01-20,2191446.2328767125
2021-01-21,7214950.875
2021-01-22,7480924.046875
2021-01-23,5027188.0
2021-01-24,3786682.8139534886
2021-01-25,2786153.4545454546
2021-01-26,4353042.409638554
2021-01-27,4340150.917647059
2021-01-28,6899436.641975309
2021-01-29,6743511.4
2021-01-30,3379445.65625
2021-01-31,1980422.3260869565
2021-02-01,3039936.3146067415
2021-02-02,3156918.0412371135
2021-02-03,5887548.913978495
2021-02-04,4336429.420289855
2021-02-05,9259642.940298507
2021-02-06,5276619.590361446
2021-02-07,3006666.671232877
2021-02-08,3895066.2473118277
2021-02-09,2317346.28
2021-02-10,2395565.8076923075
2021-02-11,3043019.73015873
2021-02-12,16883892.56756757
2021-02-13,3466737.9102564105
2021-02-14,8804272.666666666
2021-02-15,3803984.6440677964
2021-02-16,3130151.518072289
2021-02-17,3189275.925
2021-02-18,3830082.803030303
2021-02-19,4535960.458333333
2021-02-20,2426299.479452055
2021-02-21,3532295.2073170734
2021-02-22,4628400.7397260275
2021-02-23,3673635.876923077
2021-02-24,3975411.6710526315
2021-02-25,3825891.8591549294
2021-02-26,9554900.955882354
2021-02-27,2299201.9032258065
2021-02-28,3946422.5463917525
2021-03-01,3541188.2435897435
2021-03-02,4348371.975308642
2021-03-03,3042159.8125
2021-03-04,14183398.650793651
2021-03-05,18010840.833333332
2021-03-06,4051660.8
2021-03-07,4630903.055555556
2021-03-08,5229248.23880597
2021-03-09,4635540.794520548
2021-03-10,6209469.469135802
2021-03-11,8697844.19642857
2021-03-12,12695445.164383562
2021-03-13,3915179.4615384615
2021-03-14,3307420.5
2021-03-15,5341996.329896907
2021-03-16,3020323.188235294
2021-03-17,6196776.873015873
2021-03-18,6770376.349206349
2021-03-19,16135318.04109589
2021-03-20,3592353.736111111
2021-03-21,7471387.051948052
2021-03-22,4902289.428571428
2021-03-23,3057772.1558441557
2021-03-24,10034000.96875
2021-03-25,7107053.846153846
2021-03-26,30092634.36842105
2021-03-27,12318158.905405406
2021-03-28,4794279.449438202
2021-03-29,4662162.928571428
2021-03-30,4326208.195121951
2021-03-31,3442232.576923077
2021-04-01,12728619.971428571
2021-04-02,5338643.116883117
2021-04-03,6221938.402597402
2021-04-04,9758490.016129032
2021-04-05,4206960.08974359
2021-04-06,6564097.905882353
2021-04-07,6211917.848837209
2021-04-08,10371048.576923076
2021-04-09,13739565.26153846
2021-04-10,7413737.942028985
2021-04-11,5460555.252631579
2021-04-12,3596720.4625
2021-04-13,8900204.976470588
2021-04-14,9939364.32051282
2021-04-15,4587276.546875
2021-04-16,5950273.2830188675
2021-04-17,4452461.842105263
2021-04-18,3267185.625
2021-04-19,2448729.3970588236
2021-04-20,11735469.797297297
2021-04-21,4278180.891891892
2021-04-22,6770097.36
2021-04-23,21242102.980769232
2021-04-24,10631099.58974359
2021-04-25,3587786.804597701
2021-04-26,5517411.927710843
2021-04-27,5600808.384615385
2021-04-28,6724963.3125
2021-04-29,4760027.338461539
2021-04-30,8772707.450704226
2021-05-01,4617968.0
2021-05-02,3877154.785714286
2021-05-03,4134428.5428571426
2021-05-04,5036696.435897436
2021-05-05,4782780.352941177
2021-05-06,5418587.297297297
2021-05-07,6647926.107692308
2021-05-08,6361496.068965517
2021-05-09,3398974.44
2021-05-10,8601450.61971831
2021-05-11,11630429.366197184
2021-05-12,6285638.592592592
2021-05-13,12455271.4
2021-05-14,18359000.46153846
2021-05-15,10352762.49180328
2021-05-16,4406723.202531646
2021-05-17,10007255.67142857
2021-05-18,8547537.426966293
2021-05-19,4237756.6
2021-05-20,8652099.963414634
2021-05-21,17928604.71875
2021-05-22,7622199.304347826
2021-05-23,8655233.13235294
2021-05-24,6238354.716666667
2021-05-25,6262073.955223881
2021-05-26,6581644.44
2021-05-27,11226386.196721312
2021-05-28,11331863.924528303
2021-05-29,6372863.352941177
2021-05-30,6975190.56
2021-05-31,5714111.164179104
2021-06-01,8165686.085365853
2021-06-02,3739701.522727273
2021-06-03,3284275.4545454546
2021-06-04,16847949.152777776
2021-06-05,5765062.542372881
2021-06-06,4639173.746031746
2021-06-07,9098038.759036144
2021-06-08,4419798.126436782
2021-06-09,7589343.0
2021-06-10,5062248.913580247
2021-06-11,8095051.435897436
2021-06-12,5126915.634920635
2021-06-13,3048917.5714285714
2021-06-14,6319903.590909091
2021-06-15,7261350.820512821
2021-06-16,5175047.292134832
2021-06-17,4672791.793103448
2021-06-18,11285745.04225352
2021-06-19,4167987.68
2021-06-20,5867671.740740741
2021-06-21,4016581.9342105263
2021-06-22,3569387.462686567
2021-06-23,3285551.034090909
2021-06-24,5260890.623188406
2021-06-25,17747318.14864865
2021-06-26,4423298.030769231
2021-06-27,9525356.7
2021-06-28,4621141.325301205
2021-06-29,8876766.78313253
2021-06-30,5689049.411764706
2021-07-01,5993927.607142857
2021-07-02,6871972.073170732
2021-07-03,7811570.907894737
2021-07-04,8684851.325
2021-07-05,2272263.3484848486
2021-07-06,7182480.546666667
2021-07-07,2463614.9886363638
2021-07-08,10040803.52
2021-07-09,19099171.253164556
2021-07-10,5989644.175438597
2021-07-11,4877516.857142857
2021-07-12,4687246.394736842
2021-07-13,5026638.94047619
2021-07-14,6064474.012345679
2021-07-15,4789018.126582279
2021-07-16,9616600.604166666
2021-07-17,5070538.621212121
2021-07-18,3194198.563218391
2021-07-19,3987944.486111111
2021-07-20,2840330.298701299
2021-07-21,2793440.0625
2021-07-22,6366650.285714285
2021-07-23,9183183.371428572
2021-07-24,3368782.0655737706
2021-07-25,4150218.214285714
2021-07-26,4800472.635294118
2021-07-27,4256743.826666667
2021-07-28,4238303.666666667
2021-07-29,4928058.828947368
2021-07-30,8377547.48
2021-07-31,3831949.35483871
2021-08-01,4238867.056338028
2021-08-02,5517311.731343283
2021-08-03,6150488.145631068
2021-08-04,2884430.9178082193
2021-08-05,5274027.0
2021-08-06,8157426.977777778
2021-08-07,4485079.317460317
2021-08-08,2687664.5679012346
2021-08-09,3847217.0555555555
2021-08-10,4848684.151162791
2021-08-11,4486126.282352941
2021-08-12,5865283.571428572
2021-08-13,8722795.716216216
2021-08-14,4052355.4098360655
2021-08-15,2391532.2527472526
2021-08-16,4670188.355932203
2021-08-17,4886158.685714286
2021-08-18,3302952.2976190476
2021-08-19,2886583.171875
2021-08-20,5232217.358024691
2021-08-21,2522434.3943661973
2021-08-22,3877675.265822785
2021-08-23,7517544.833333333
2021-08-24,4266729.149253732
2021-08-25,2857853.946666667
2021-08-26,1853278.4333333333
2021-08-27,5063157.633802817
2021-08-28,3831920.9411764704
2021-08-29,4016261.611111111
2021-08-30,3426616.745762712
2021-08-31,4031040.951219512
2021-09-01,5042670.786666667
2021-09-02,4652282.160493827
2021-09-03,7008161.884615385
2021-09-04,5717016.741935484
2021-09-05,2479976.9487179485
2021-09-06,5882367.184210527
2021-09-07,2928857.5888888887
2021-09-08,4550048.936507937
2021-09-09,7459229.8513513515
2021-09-10,8987203.45882353
2021-09-11,3469903.1029411764
2021-09-12,1675483.3048780488
2021-09-13,2901811.2625
2021-09-14,2436066.4137931033
2021-09-15,2320126.2560975607
2021-09-16,2624495.04494382
2021-09-17,6146660.112903226
2021-09-18,2960949.6964285714
2021-09-19,1975738.3378378379
2021-09-20,2645583.43373494
2021-09-21,2992933.5108695654
2021-09-22,2963084.8160919542
2021-09-23,8708651.475609757
2021-09-24,6856481.516483516
2021-09-25,3435958.649350649
2021-09-26,3644371.5416666665
2021-09-27,3007168.4109589043
2021-09-28,2286625.4482758623
2021-09-29,4463549.64935065
2021-09-30,4286590.101265823
2021-10-01,5853073.50617284
2021-10-02,2345598.1621621624
2021-10-03,3012100.8494623657
2021-10-04,5178380.2950819675
2021-10-05,5731008.028571429
2021-10-06,4316732.275362318
2021-10-07,4070885.68
2021-10-08,5192753.046875
2021-10-09,3797697.4
2021-10-10,3303030.470588235
2021-10-11,3032505.8615384614
2021-10-12,3161679.9375
2021-10-13,4059825.277777778
2021-10-14,6848939.506666667
2021-10-15,4330989.410958904
2021-10-16,5066459.521739131
2021-10-17,2827343.4929577466
2021-10-18,3633446.015151515
2021-10-19,3037133.425531915
2021-10-20,2321551.5694444445
2021-10-21,4479265.137931035
2021-10-22,7698238.108433735
2021-10-23,3617447.081081081
2021-10-24,2621404.528735632
2021-10-25,3467998.283018868
2021-10-26,2423300.327272727
2021-10-27,3871874.6025641025
2021-10-28,4739684.55952381
2021-10-29,7423307.791666667
2021-10-30,3799782.975609756
2021-10-31,3196248.47
2021-11-01,2347550.4444444445
2021-11-02,1961046.9705882352
2021-11-03,3567968.076923077
2021-11-04,3954467.488095238
2021-11-05,3781861.896103896
2021-11-06,3345320.923076923
2021-11-07,2512820.6736842105
2021-11-08,2504767.5263157897
2021-11-09,2615163.4897959186
2021-11-10,4080807.111111111
2021-11-11,2606985.3975903615
2021-11-12,5226796.5698924735
2021-11-13,4533847.722891566
2021-11-14,2147699.1981981983
2021-11-15,2944401.057471264
2021-11-16,3212495.835443038
2021-11-17,2947992.695652174
2021-11-18,4399253.46835443
2021-11-19,4167363.056338028
2021-11-20,2687116.486842105
2021-11-21,2487662.091954023
2021-11-22,2362723.013157895
2021-11-23,2373873.7023809524
2021-11-24,5203231.955555555
2021-11-25,3429873.969230769
2021-11-26,2641876.432835821
2021-11-27,3409845.9166666665
2021-11-28,2296893.4324324327
2021-11-29,2499121.699186992
2021-11-30,3392804.893129771
2021-12-01,3843834.1639344264
2021-12-02,2692062.0149253733
2021-12-03,2777737.2827586206
2021-12-04,2432841.0
2021-12-05,2185170.3602941176
2021-12-06,2682871.909090909
2021-12-07,2309580.2268041237
2021-12-08,2807967.2
